Unnamed: 0,gender,situation,tea,coffee,height,weight,age,meat,fish,raw_fruit,cooked_fruit_veg,chocol,fat
0,Female,1,0,0,151.0,58,72,4,3,1,4,5,"Mix of vegetable oils (e.g., Isio4)"
1,Female,1,1,1,162.0,60,68,5,2,5,5,1,Sunflower oil
2,Female,1,0,4,162.0,75,78,3,1,5,2,5,Sunflower oil
3,Female,1,0,0,154.0,45,91,0,4,4,0,3,Margarine
4,Female,1,2,1,154.0,50,65,5,3,5,5,3,Margarine
5,Female,1,2,0,159.0,66,82,4,2,5,5,1,Peanut oil
6,Female,1,2,0,160.0,66,74,3,3,5,5,5,"Mix of vegetable oils (e.g., Isio4)"
7,Female,1,0,2,163.0,66,73,4,2,5,5,1,"Mix of vegetable oils (e.g., Isio4)"
8,Female,1,0,3,154.0,60,89,4,3,5,5,5,"Mix of vegetable oils (e.g., Isio4)"
9,Female,1,0,2,160.0,77,87,2,3,5,4,0,Peanut oil
10,Female,1,0,2,175.0,68,91,5,2,5,5,5,Peanut oil
11,Female,1,2,0,165.0,75,81,5,2,2,3,0,"Mix of vegetable oils (e.g., Isio4)"
12,Female,1,0,3,158.0,53,89,4,2,5,5,5,Sunflower oil
13,Female,1,2,0,155.0,63,79,3,1,5,3,2,Sunflower oil
14,Female,1,0,2,154.0,80,83,3,3,5,5,1,Peanut oil
15,Male,1,0,3,166.0,80,78,5,0,5,3,0,Sunflower oil
16,Female,1,0,2,159.0,57,74,3,2,5,3,1,Sunflower oil
17,Female,1,0,2,157.0,55,74,3,2,5,5,2,Peanut oil
18,Male,1,0,1,165.0,57,78,5,2,5,5,5,Sunflower oil
19,Female,1,0,0,156.0,90,78,5,1,5,5,2,Sunflower oil
20,Male,2,0,1,175.0,90,73,5,1,5,3,2,Duck or goose fat
21,Female,2,2,2,161.0,68,76,4,2,5,5,1,Butter
22,Male,2,2,2,168.0,83,85,4,2,5,5,1,Butter
23,Male,1,0,4,168.0,90,73,3,2,4,5,0,Peanut oil
24,Female,2,3,1,156.0,56,77,3,2,5,3,0,Sunflower oil
25,Male,2,3,2,170.0,70,74,3,2,5,3,0,Sunflower oil
26,Female,1,0,0,162.0,58,67,4,3,5,5,0,Peanut oil
27,Male,2,4,5,172.0,80,68,5,3,5,5,5,Olive oil
28,Female,1,1,1,165.0,75,69,4,3,5,5,5,Peanut oil
29,Male,2,0,2,171.0,81,71,4,2,5,5,5,Peanut oil
30,Female,2,0,1,160.0,54,67,4,4,5,3,2,Sunflower oil
31,Male,2,0,3,176.0,82,76,3,3,3,5,5,"Mix of vegetable oils (e.g., Isio4)"
32,Male,2,0,3,164.0,53,69,5,3,5,5,1,Olive oil
33,Female,2,1,2,156.0,58,67,5,3,5,5,5,Peanut oil
34,Female,1,0,2,153.0,70,69,5,0,5,5,3,Olive oil
35,Male,2,1,0,159.0,70,85,3,1,5,4,5,Butter
36,Male,2,0,5,170.0,60,74,4,2,5,5,5,Butter
37,Male,3,0,0,178.0,87,78,3,2,4,3,2,Butter
38,Male,2,1,2,172.0,86,73,2,5,5,5,1,Sunflower oil
39,Male,2,0,3,186.0,95,74,4,3,5,5,5,Sunflower oil
40,Female,2,0,3,168.0,77,69,4,3,5,5,5,Sunflower oil
41,Male,1,0,0,181.0,94,71,3,2,5,3,5,Olive oil
42,Male,1,0,1,172.0,62,85,5,3,5,5,0,Olive oil
43,Male,2,0,0,160.0,55,70,5,3,5,5,5,Margarine
44,Female,2,0,0,155.0,50,73,5,1,5,5,0,Peanut oil
45,Male,2,0,1,172.0,81,74,5,1,5,5,0,Peanut oil
46,Female,2,0,2,160.0,62,77,3,2,3,5,0,Sunflower oil
47,Female,1,0,1,158.0,51,69,5,1,5,5,1,Sunflower oil
48,Female,1,0,2,160.0,49,76,3,3,5,5,3,Sunflower oil
49,Female,1,0,0,164.0,70,79,3,3,4,5,0,Olive oil
50,Female,2,0,3,153.0,60,65,3,3,3,4,3,Sunflower oil
51,Male,2,0,4,169.0,68,66,3,3,1,4,1,Sunflower oil
52,Female,1,2,1,165.0,65,85,5,5,5,5,3,Olive oil
53,Male,1,0,2,166.0,66,90,3,2,5,3,0,Peanut oil
54,Male,1,0,3,176.0,85,75,5,5,5,2,0,Margarine
55,Male,2,0,2,180.0,79,78,1,3,5,5,1,Butter
56,Male,1,0,2,174.0,75,87,3,3,5,5,5,Butter
57,Female,1,0,2,160.0,60,88,3,1,5,3,0,Peanut oil
58,Female,1,0,1,160.0,67,89,3,4,3,5,1,Sunflower oil
59,Male,2,0,0,188.0,82,70,4,3,5,4,0,Peanut oil
60,Female,2,2,0,160.0,83,71,3,3,5,4,3,"Mix of vegetable oils (e.g., Isio4)"
61,Male,2,0,2,179.0,67,76,5,2,5,3,3,Margarine
62,Female,2,2,1,157.0,57,72,5,2,1,5,5,Sunflower oil
63,Male,2,0,2,188.0,96,88,3,3,5,5,0,Margarine
64,Male,1,0,3,174.0,74,68,3,5,5,5,5,Olive oil
65,Male,1,0,2,173.0,75,72,5,3,5,3,5,Butter
66,Female,1,0,3,160.0,60,78,4,3,5,3,1,"Mix of vegetable oils (e.g., Isio4)"
67,Female,1,0,2,150.0,55,67,5,2,5,5,0,Peanut oil
68,Male,2,4,1,170.0,76,76,4,3,5,4,1,Sunflower oil
69,Male,2,0,3,180.0,90,68,5,3,5,5,5,Sunflower oil
70,Female,2,0,2,152.0,60,69,5,3,5,4,1,Sunflower oil
71,Male,2,0,3,162.0,74,67,5,3,5,4,2,Sunflower oil
72,Female,2,1,2,152.0,64,66,5,3,3,5,5,Peanut oil
73,Male,2,0,2,165.0,90,79,5,2,5,5,5,Olive oil
