image_id,type,taxonomy,vernacular_names,calories,carbohydrate,proteins,total_fat,cholesterol,dietary_fiber,glucose,fructose,sucrose,folate,niacin,pantothenic_acid,pyridoxine,riboflavin,thiamin,vit_a,vit_e,vit_c,vit_k,vit_b12,selenium,sodium,potassium,calcium,copper,iron,magnesium,manganese,phosphorus,zinc,water,polyphenols,flavonoids,carotenoids,tannins,Energy (Kcal),Carbohydrates (g),Proteins (g),Total Fat (g),Cholesterol (mg),Dietary Fiber (g),Folate (µg),Niacin (mg),Pantothenic Acid (mg),Pyridoxine (mg),Riboflavin (mg),Thiamin (mg),Vitamin A (IU),Vitamin C (mg),Vitamin K (µg),Sodium (mg),Potassium (mg),Calcium (mg),Copper (mg),Iron (mg),Magnesium (mg),Manganese (mg),Phosphorus (mg),Zinc (mg),Carotene-ß (µg),Crypto-xanthin-ß (µg),Lutein Zeaxanthin (µg)
Ajwa_001,Ajwa,"Kingdom - Plantae, Order - Arecales, Family - Arecaceae, Genus - Phoenix, Species - P. dactylifera","Arabic-Nakhleh, English-Date friut, French-Dattier",277,74.97,1.81,0.15,0,6.7,64.0,40.0,60.0,15,1.61,0.805,0.249,0.06,0.05,149,0.2,0,2.7,0,0.2,1,696,64,0.362,0.9,54,0.296,62,0.44,20.0,0.5,0.5,0.3,1.0,277,74.97,1.81,0.15,0,6.7,15,1.61,0.805,0.249,0.06,0.05,149,0,2.7,1,696,64,0.362,0.9,54,0.296,62,0.44,89,0,23
Ajwa_002,Ajwa,"Kingdom - Plantae, Order - Arecales, Family - Arecaceae, Genus - Phoenix, Species - P. dactylifera","Arabic-Nakhleh, English-Date friut, French-Dattier",277,78.39,1.88,0.15,0.0,6.93,64.38,40.22,61.86,15.36,1.62,0.82,0.25,0.06,0.05,150.99,0.2,0.0,2.75,0.0,0.2,1.0,695.73,64.36,0.38,0.91,55.7,0.3,64.37,0.44,20.16,0.52,0.52,0.31,1.02,285.9,77.58,1.89,0.15,0.0,6.82,14.97,1.69,0.84,0.25,0.06,0.05,152.03,0.0,2.75,1.03,698.88,65.5,0.38,0.91,56.61,0.3,61.83,0.44,88.78,0.0,22.98
Ajwa_003,Ajwa,"Kingdom - Plantae, Order - Arecales, Family - Arecaceae, Genus - Phoenix, Species - P. dactylifera","Arabic-Nakhleh, English-Date friut, French-Dattier",277,75.41,1.87,0.16,0.0,6.86,66.37,41.84,61.52,15.75,1.61,0.82,0.25,0.06,0.05,153.45,0.21,0.0,2.72,0.0,0.21,1.01,718.07,64.3,0.37,0.91,54.42,0.3,63.91,0.45,20.4,0.52,0.51,0.31,1.01,290.67,77.96,1.86,0.15,0.0,6.76,15.26,1.61,0.82,0.25,0.06,0.05,156.22,0.0,2.83,1.02,702.56,67.1,0.36,0.91,54.35,0.3,62.95,0.45,93.3,0.0,23.12
Ajwa_004,Ajwa,"Kingdom - Plantae, Order - Arecales, Family - Arecaceae, Genus - Phoenix, Species - P. dactylifera","Arabic-Nakhleh, English-Date friut, French-Dattier",277,75.67,1.89,0.15,0.0,6.92,66.8,40.92,60.35,15.05,1.68,0.82,0.25,0.06,0.05,153.53,0.2,0.0,2.75,0.0,0.2,1.03,725.38,64.26,0.37,0.91,56.6,0.3,64.07,0.46,20.01,0.5,0.5,0.31,1.03,288.23,75.03,1.9,0.15,0.0,6.8,15.18,1.66,0.8,0.25,0.06,0.05,148.98,0.0,2.79,1.04,698.14,65.81,0.36,0.91,55.35,0.31,62.66,0.44,91.95,0.0,22.98
Ajwa_005,Ajwa,"Kingdom - Plantae, Order - Arecales, Family - Arecaceae, Genus - Phoenix, Species - P. dactylifera","Arabic-Nakhleh, English-Date friut, French-Dattier",277,77.63,1.84,0.15,0.0,6.82,65.33,41.15,60.0,15.66,1.66,0.83,0.25,0.06,0.05,149.42,0.2,0.0,2.81,0.0,0.21,1.02,695.33,63.84,0.38,0.9,55.14,0.3,63.46,0.44,20.49,0.51,0.52,0.31,1.01,285.96,77.66,1.86,0.15,0.0,6.79,15.01,1.64,0.81,0.25,0.06,0.05,150.98,0.0,2.76,1.02,715.71,66.34,0.37,0.93,55.87,0.3,63.59,0.44,89.25,0.0,24.13
Ajwa_006,Ajwa,"Kingdom - Plantae, Order - Arecales, Family - Arecaceae, Genus - Phoenix, Species - P. dactylifera","Arabic-Nakhleh, English-Date friut, French-Dattier",277,76.21,1.89,0.15,0.0,6.92,65.37,40.6,60.04,15.43,1.61,0.84,0.26,0.06,0.05,149.88,0.2,0.0,2.72,0.0,0.21,1.0,703.96,66.73,0.37,0.94,54.18,0.3,63.21,0.46,20.32,0.51,0.5,0.3,1.04,290.58,76.63,1.89,0.15,0.0,6.76,15.3,1.63,0.83,0.25,0.06,0.05,150.03,0.0,2.72,1.02,714.65,66.38,0.37,0.9,54.98,0.3,62.11,0.44,89.96,0.0,23.01
Ajwa_007,Ajwa,"Kingdom - Plantae, Order - Arecales, Family - Arecaceae, Genus - Phoenix, Species - P. dactylifera","Arabic-Nakhleh, English-Date friut, French-Dattier",277,78.57,1.88,0.15,0.0,6.7,65.38,40.03,62.0,15.39,1.67,0.82,0.26,0.06,0.05,149.33,0.21,0.0,2.76,0.0,0.2,1.01,707.05,64.02,0.38,0.94,54.17,0.3,64.97,0.44,20.93,0.51,0.52,0.31,1.0,281.27,75.97,1.89,0.15,0.0,6.94,15.55,1.64,0.82,0.25,0.06,0.05,154.41,0.0,2.76,1.05,707.36,65.79,0.38,0.93,56.0,0.3,62.68,0.45,90.51,0.0,23.5
Ajwa_008,Ajwa,"Kingdom - Plantae, Order - Arecales, Family - Arecaceae, Genus - Phoenix, Species - P. dactylifera","Arabic-Nakhleh, English-Date friut, French-Dattier",277,78.35,1.87,0.15,0.0,6.78,65.32,41.66,60.16,15.62,1.62,0.82,0.25,0.06,0.05,149.64,0.2,0.0,2.77,0.0,0.21,1.01,729.78,64.39,0.38,0.9,54.22,0.3,63.79,0.46,20.94,0.5,0.5,0.3,1.01,284.8,77.2,1.84,0.15,0.0,6.76,15.38,1.62,0.81,0.25,0.06,0.05,155.08,0.0,2.83,1.04,705.86,66.25,0.37,0.93,54.28,0.3,62.98,0.46,89.21,0.0,23.9
Ajwa_009,Ajwa,"Kingdom - Plantae, Order - Arecales, Family - Arecaceae, Genus - Phoenix, Species - P. dactylifera","Arabic-Nakhleh, English-Date friut, French-Dattier",277,75.6,1.83,0.15,0.0,6.91,64.4,40.62,61.34,14.96,1.67,0.81,0.26,0.06,0.05,153.17,0.2,0.0,2.72,0.0,0.2,1.02,708.3,64.03,0.37,0.92,55.33,0.3,62.9,0.46,20.44,0.5,0.51,0.3,1.01,287.56,77.44,1.81,0.16,0.0,6.73,15.45,1.66,0.83,0.25,0.06,0.05,154.48,0.0,2.72,1.02,712.59,66.07,0.37,0.92,56.18,0.3,62.7,0.45,92.93,0.0,24.04
Ajwa_010,Ajwa,"Kingdom - Plantae, Order - Arecales, Family - Arecaceae, Genus - Phoenix, Species - P. dactylifera","Arabic-Nakhleh, English-Date friut, French-Dattier",277,75.36,1.87,0.15,0.0,6.85,66.1,40.88,62.32,15.41,1.67,0.82,0.25,0.06,0.05,156.01,0.21,0.0,2.75,0.0,0.2,1.04,720.7,66.66,0.37,0.92,55.66,0.31,64.96,0.44,20.34,0.51,0.51,0.3,1.03,284.93,78.55,1.81,0.16,0.0,6.97,15.52,1.67,0.81,0.25,0.06,0.05,151.04,0.0,2.7,1.02,719.47,64.8,0.37,0.9,55.03,0.31,62.89,0.45,89.47,0.0,23.09
